	COLD_CONTROL_12H_SHOOT_REP1.cel	COLD_CONTROL_12H_SHOOT_REP2.cel	COLD_6H_SHOOT_REP1.cel	COLD_6H_SHOOT_REP2.cel	COLD_12H_SHOOT_REP1.cel	COLD_12H_SHOOT_REP2.cel
245078_at	8.33062849110863	7.91380770140778	10.2189207861736	10.3510014008306	12.0221513158788	11.7497086492273
245079_at	6.90488547731408	6.9838987850365	6.70091543352311	6.64259628497278	6.46962671231761	6.48376032737776
245080_at	4.82969281993821	4.65508692800835	4.55752730516397	4.43876202652039	4.47218460444099	4.36993754657771
245081_at	5.09192264342636	5.26129871622176	5.20227317312208	5.01912624456934	5.17304814263276	5.3866320252114
245082_at	5.51158869780854	5.64430705765374	5.58402974840083	5.71433190362037	5.61524776075334	5.65834245001925
245083_at	7.72575343743798	7.84806229882088	7.79439309313859	7.54608581094307	7.77864239412116	7.65374908296806
245084_at	6.45592154871308	6.64979024851493	6.42966107489254	6.25845271380662	6.22271663053634	6.18484766690685
245085_at	9.8234846841055	9.82009560014804	9.92634209126827	10.058877182794	9.92851856123232	9.812233455274
245086_at	4.22556249618991	4.24339077009613	4.22039901019293	4.17026923253169	4.2841668702241	4.17694427275693
245087_at	6.5006814607433	6.3881279713484	6.25305699160951	6.1162897918526	6.25633798616131	6.19631803435514
245088_at	9.45100643372707	9.3389595489342	9.18048912930135	8.96657952516644	8.98723347069363	9.14708084757881
245089_at	6.75062346915522	6.73939408399437	6.15751483122031	6.51433754941855	6.55163393300236	6.45148074763635
245090_at	7.55454809699236	7.66472240700253	8.48718182554789	8.41355119118104	8.65004259569815	8.56245344585447
245091_at	4.69759242534719	4.57462777523215	4.63103226557426	4.52969856478061	4.66032628551127	4.67064050773066
245092_at	7.97114015879921	8.04854685897928	7.74710520128748	7.83066798134275	8.17325535750186	8.14887013539721
245093_at	7.05962189936232	7.00141999754228	6.91994156934425	6.81753319148732	6.96616123678195	6.96434638438945
245094_at	11.0596674011117	10.949671767873	9.56527715758851	9.31121714195164	9.76065987259132	9.71930945298606
245095_at	6.37142945291904	6.34130533537604	6.28054834226791	6.2913765018516	5.90229013030934	5.93185844147813
245096_at	9.3990285013821	9.37121376425313	10.5185878622067	10.3357906513154	11.3946160893951	11.4871523217769
245097_at	7.77454987425314	7.91825884024844	7.72184238476606	7.71320283926496	8.08789796924064	8.0970833373998
245098_at	8.25245480092249	8.23424036813504	8.33212433957834	8.20374780503934	8.74439489460082	8.68126707800722
245099_at	8.44416135373725	8.322581547542	8.13778505791582	7.94490322542621	8.09373122614447	8.12544629053156
245100_at	7.67031768964751	7.51050816792521	7.6123436048591	7.61811282528832	7.89270175691516	7.90069408567563
