logFC,AveExpr,t,P.Value,adj.P.Val,B
3.981654131479722,7.63729517924766,42.58512621593276,7.721341689406726e-11,2.2873221290307457e-8,15.801830870626622
3.2792514329213542,8.779268480991052,42.50698687302678,7.836915676433359e-11,2.2917954689672426e-8,15.787366122645471
3.255173827675634,9.5623583261776,42.27724342907811,8.188130366416684e-11,2.339543830898932e-8,15.744643267627678
-3.2270666955027476,8.85981938937967,-42.26627998720148,8.205326894866925e-11,2.339543830898932e-8,15.742597247335576
5.168239382856028,7.982835050227828,42.16479095311513,8.366455127815932e-11,2.3560350798207582e-8,15.723625553857888
3.273395880382788,12.63250291762106,41.868656638748995,8.85728434985351e-11,2.452545052582628e-8,15.667940143887991
3.4829524794926856,8.953672906239692,41.77385502780543,9.021181872950623e-11,2.452545052582628e-8,15.650009551152293
3.1708168122024087,10.209946788783096,41.76781954635558,9.031731013456412e-11,2.452545052582628e-8,15.64886629398733
3.7002614821300233,7.386062730411237,40.904614835022564,1.069355041670377e-10,2.8696457059413294e-8,15.483206765096346
3.183019252675102,6.304806304967924,40.618828806804196,1.1317360139152519e-10,3.001732381093825e-8,15.427403896046288
3.1584045110489676,9.097379183801896,40.27647789870639,1.2119062360934092e-10,3.177423131642605e-8,15.359914958329332
3.482798592053123,9.803154190594725,40.215148334566756,1.2269313497502015e-10,3.180261828159329e-8,15.347750225951339
4.515763546132769,9.298787092764028,40.07322895741422,1.2625086324799163e-10,3.2357103266142576e-8,15.31951283175262
3.5530229409790772,9.135489099925401,39.658499987580186,1.3732927500518855e-10,3.4805341809648347e-8,15.23628677054103
2.7050018760813437,13.531580647797215,39.434927128577755,1.4375152039563164e-10,3.603266132114679e-8,15.190977875227189
3.3830541985267297,7.3945281480181135,39.18639519911467,1.5128955928147882e-10,3.750994399141883e-8,15.14024127086274
3.6092954336817344,7.285163199474173,39.00187447896329,1.571733749260844e-10,3.8549727764128876e-8,15.102317945926421
3.2669209397584886,11.914000355151739,38.70337001388412,1.672437450656214e-10,4.0583296010072593e-8,15.040504047275546
5.029438702484296,8.679098165462772,38.63141999999842,1.6977808263212124e-10,4.076461120882827e-8,15.025518149252898
2.9515290064555586,7.765112271643597,38.470444487311305,1.7560584982370842e-10,4.172468160915405e-8,14.991866986043876
4.874271971598086,11.32324823343489,38.34225748637988,1.804073931048107e-10,4.2333569017798146e-8,14.96494794818902
3.578056389373189,9.476826630672234,38.303701259468234,1.8188030529347736e-10,4.2333569017798146e-8,14.956829910529942
3.1381329387632375,9.228295029654955,38.155033033194165,1.8768741024934286e-10,4.32439376544193e-8,14.92543503103722
-4.188834641008378,6.411787981837527,-37.61909164689192,2.104173770508366e-10,4.7996203705295824e-8,14.811021689294547
3.076401733689992,6.658096419945671,37.44543387054278,2.1843313026114198e-10,4.933128417085791e-8,14.773527899387522
6.463842427209088,8.962483939482592,37.34101193716312,2.2341782444001614e-10,4.996235858310557e-8,14.750881976533543
3.309190616400718,8.796422056386033,37.188184162722436,2.3094506811019484e-10,5.114424275333538e-8,14.717601149565022
4.730796168281173,6.473486894941917,37.03576438771891,2.3873689969746266e-10,5.236142963556849e-8,14.684245742821426
-4.012882487149914,8.180662717639503,-36.85276850384348,2.484843310148261e-10,5.371742008677742e-8,14.643981711360892
3.3539037570218238,12.145769566932827,36.83180156248874,2.4962939628226244e-10,5.371742008677742e-8,14.639353182466417
4.200737480351336,11.164498266533872,36.76750973817532,2.531776512265208e-10,5.391005078781916e-8,14.62514090976322
3.472756039376133,9.472573119780138,36.73040061981222,2.552514460799855e-10,5.391005078781916e-8,14.616924118086049
2.9749744807778704,10.450104851735688,36.590117047513345,2.632651010547863e-10,5.460217695990871e-8,14.58577257408563
-2.501920861833823,8.955546962086988,-36.58924028259545,2.633160660056974e-10,5.460217695990871e-8,14.585577431553167
4.239830207883292,11.493085755225277,36.39263720242008,2.7502904789473765e-10,5.6313339299295725e-8,14.541678226841194
2.711640298963175,9.048980239527815,36.368521031254396,2.765056554809786e-10,5.6313339299295725e-8,14.536273953676867
